report_month,plant_name,item_name,month_actual
September 2025,ASP,Total Crude Steel,12.091
October 2025,ASP,Total Crude Steel,11.421
November 2025,ASP,Total Crude Steel,9.483
December 2025,ASP,Total Crude Steel,7.655
January 2026,ASP,Total Crude Steel,9.197
February 2026,ASP,Total Crude Steel,10.051
March 2026,ASP,Total Crude Steel,11.762
April 2025,SSP,Total Crude Steel,15.523
May 2025,SSP,Total Crude Steel,15.312
June 2025,SSP,Total Crude Steel,12.776
July 2025,SSP,Total Crude Steel,10.542
August 2025,SSP,Total Crude Steel,14.691
September 2025,SSP,Total Crude Steel,6.324
October 2025,SSP,Total Crude Steel,15.016
November 2025,SSP,Total Crude Steel,14.002
December 2025,SSP,Total Crude Steel,14.625
January 2026,SSP,Total Crude Steel,15.026
February 2026,SSP,Total Crude Steel,8.502
March 2026,SSP,Total Crude Steel,13.762
April 2025,VISL,Total Crude Steel,0.0
May 2025,VISL,Total Crude Steel,0.0
June 2025,VISL,Total Crude Steel,0.0
July 2025,VISL,Total Crude Steel,0.0
August 2025,VISL,Total Crude Steel,0.0
September 2025,VISL,Total Crude Steel,0.0
October 2025,VISL,Total Crude Steel,0.0
November 2025,VISL,Total Crude Steel,0.0
December 2025,VISL,Total Crude Steel,0.0
January 2026,VISL,Total Crude Steel,0.0
February 2026,VISL,Total Crude Steel,0.0
March 2026,VISL,Total Crude Steel,0.0
April 2025,BSP,Saleable Steel,437.464
May 2025,BSP,Saleable Steel,416.368
June 2025,BSP,Saleable Steel,438.883
July 2025,BSP,Saleable Steel,448.882
August 2025,BSP,Saleable Steel,519.627
September 2025,BSP,Saleable Steel,439.071
October 2025,BSP,Saleable Steel,466.684
November 2025,BSP,Saleable Steel,444.211
December 2025,BSP,Saleable Steel,447.456
January 2026,BSP,Saleable Steel,435.709
February 2026,BSP,Saleable Steel,444.565
March 2026,BSP,Saleable Steel,479.82
April 2025,DSP,Saleable Steel,179.087
May 2025,DSP,Saleable Steel,168.719
June 2025,DSP,Saleable Steel,159.625
July 2025,DSP,Saleable Steel,190.167
August 2025,DSP,Saleable Steel,183.719
September 2025,DSP,Saleable Steel,167.579
October 2025,DSP,Saleable Steel,149.569
November 2025,DSP,Saleable Steel,169.952
December 2025,DSP,Saleable Steel,188.027
January 2026,DSP,Saleable Steel,185.403
February 2026,DSP,Saleable Steel,169.021
March 2026,DSP,Saleable Steel,181.59
April 2025,RSP,Saleable Steel,341.942
May 2025,RSP,Saleable Steel,339.255
June 2025,RSP,Saleable Steel,345.634
July 2025,RSP,Saleable Steel,315.727
August 2025,RSP,Saleable Steel,363.865
September 2025,RSP,Saleable Steel,346.567
October 2025,RSP,Saleable Steel,361.795
November 2025,RSP,Saleable Steel,304.892
December 2025,RSP,Saleable Steel,363.685
January 2026,RSP,Saleable Steel,374.399
February 2026,RSP,Saleable Steel,330.388
March 2026,RSP,Saleable Steel,377.073
April 2025,BSL,Saleable Steel,357.587
May 2025,BSL,Saleable Steel,408.261
June 2025,BSL,Saleable Steel,375.182
July 2025,BSL,Saleable Steel,383.618
August 2025,BSL,Saleable Steel,344.886
September 2025,BSL,Saleable Steel,374.312
October 2025,BSL,Saleable Steel,373.98
November 2025,BSL,Saleable Steel,358.204
December 2025,BSL,Saleable Steel,349.877
January 2026,BSL,Saleable Steel,421.169
February 2026,BSL,Saleable Steel,384.914
March 2026,BSL,Saleable Steel,432.942
April 2025,ISP,Saleable Steel,198.79795000000001
May 2025,ISP,Saleable Steel,228.30257900000007
June 2025,ISP,Saleable Steel,227.89399800000004
July 2025,ISP,Saleable Steel,243.2137770000001
August 2025,ISP,Saleable Steel,219.02552800000004
September 2025,ISP,Saleable Steel,222.81190100000006
October 2025,ISP,Saleable Steel,176.4517220000001
November 2025,ISP,Saleable Steel,214.4750590000001
December 2025,ISP,Saleable Steel,231.66229500000017
January 2026,ISP,Saleable Steel,224.56212800000014
February 2026,ISP,Saleable Steel,184.2004180000001
March 2026,ISP,Saleable Steel,233.33289499999998
April 2025,ASP,Saleable Steel,8.366
May 2025,ASP,Saleable Steel,10.885
June 2025,ASP,Saleable Steel,9.409
July 2025,ASP,Saleable Steel,10.307
August 2025,ASP,Saleable Steel,12.007
